"species","model","parameter","estimate","stderr"
"PICE.MAR","DBHHT","bbark3",0.5775,NA
"PICE.MAR","DBHHT","bbranches1",0.0405,NA
"PICE.MAR","DBHHT","bbranches2",3.1917,NA
"PICE.MAR","DBHHT","bbranches3",-1.3674,NA
"PICE.MAR","DBHHT","bfoliage1",0.2078,NA
"PICE.MAR","DBHHT","bfoliage2",2.5517,NA
"PICE.MAR","DBHHT","bfoliage3",-1.3453,NA
"TSUG.CAN","DBHHT","bwood1",0.0257,0.0019
"TSUG.CAN","DBHHT","bwood2",1.9277,0.0357
"TSUG.CAN","DBHHT","bwood3",0.8576,0.0549
"TSUG.CAN","DBHHT","bbark1",0.0118,0.0012
"TSUG.CAN","DBHHT","bbark2",1.9893,0.0614
"TSUG.CAN","DBHHT","bbark3",0.47,0.0928
"TSUG.CAN","DBHHT","bbranches1",0.0215,0.0044
"TSUG.CAN","DBHHT","bbranches2",2.6553,0.1087
"TSUG.CAN","DBHHT","bbranches3",-0.4682,0.1564
"TSUG.CAN","DBHHT","bfoliage1",0.1471,0.0179
"TSUG.CAN","DBHHT","bfoliage2",2.0108,0.0959
"TSUG.CAN","DBHHT","bfoliage3",-0.608,0.1416
"JUNI.VIR","DBHHT","bwood1",0.052,0.0069
"JUNI.VIR","DBHHT","bwood2",1.7731,0.0347
"JUNI.VIR","DBHHT","bwood3",0.7054,0.0871
"JUNI.VIR","DBHHT","bbark1",0.0283,0.004
"JUNI.VIR","DBHHT","bbark2",1.7079,0.0488
"JUNI.VIR","DBHHT","bbark3",0,0
"JUNI.VIR","DBHHT","bbranches1",0.0219,0.0063
"JUNI.VIR","DBHHT","bbranches2",2.3585,0.0899
"JUNI.VIR","DBHHT","bbranches3",0,0
"JUNI.VIR","DBHHT","bfoliage1",0.2575,0.1128
"JUNI.VIR","DBHHT","bfoliage2",2.5136,0.1784
"JUNI.VIR","DBHHT","bfoliage3",-1.5565,0.3393
"THUJ.OCC","DBHHT","bwood1",0.0295,0.0018
"THUJ.OCC","DBHHT","bwood2",1.7026,0.0355
"THUJ.OCC","DBHHT","bwood3",0.9428,0.06
"THUJ.OCC","DBHHT","bbark1",0.0076,8e-04
"THUJ.OCC","DBHHT","bbark2",1.7861,0.0628
"THUJ.OCC","DBHHT","bbark3",0.6132,0.1045
"THUJ.OCC","DBHHT","bbranches1",0.0501,0.0066
"THUJ.OCC","DBHHT","bbranches2",2.5165,0.1117
"THUJ.OCC","DBHHT","bbranches3",-0.8774,0.1719
"THUJ.OCC","DBHHT","bfoliage1",0.0813,0.0105
"THUJ.OCC","DBHHT","bfoliage2",2.218,0.1124
"THUJ.OCC","DBHHT","bfoliage3",-0.7907,0.1708
"PINU.STR","DBHHT","bwood1",0.017,8e-04
"PINU.STR","DBHHT","bwood2",1.7779,0.0197
"PINU.STR","DBHHT","bwood3",1.137,0.0305
